iter	Logloss	Accuracy
688	0.1989558314	0.9431968296
689	0.1988113754	0.9431968296
690	0.198686521	0.9431968296
691	0.1986117031	0.9431968296
692	0.1982391056	0.9431968296
693	0.1981008553	0.9431968296
694	0.1980164223	0.9431968296
695	0.1978864114	0.9431968296
696	0.1977621319	0.9445178336
697	0.1975457197	0.9445178336
698	0.1974839341	0.9445178336
699	0.197337257	0.9431968296
700	0.1971215696	0.9458388375
701	0.1968693129	0.9445178336
702	0.1966385153	0.9458388375
703	0.1966161755	0.9458388375
704	0.1965006986	0.9458388375
705	0.1963133961	0.9458388375
706	0.1961606653	0.9458388375
707	0.1959802785	0.9458388375
708	0.1958454628	0.9458388375
709	0.1957763787	0.9458388375
710	0.1956281028	0.9458388375
711	0.1954457375	0.9458388375
712	0.1951944257	0.9458388375
713	0.1950460641	0.9458388375
714	0.1949344353	0.9458388375
715	0.1948193308	0.9458388375
716	0.1947709806	0.9458388375
717	0.1946620671	0.9458388375
718	0.1945099228	0.9458388375
719	0.1944039295	0.9458388375
720	0.1942025223	0.9471598415
721	0.194039513	0.9471598415
722	0.1938972481	0.9471598415
723	0.1937176428	0.9471598415
724	0.1936042165	0.9484808454
725	0.1934695543	0.9458388375
726	0.1932449615	0.9458388375
727	0.1931880955	0.9458388375
728	0.1931052462	0.9458388375
729	0.1928878807	0.9458388375
730	0.1928183573	0.9458388375
731	0.1927792204	0.9458388375
732	0.1927195425	0.9458388375
733	0.1923380406	0.9458388375
734	0.1922749673	0.9458388375
735	0.1922100848	0.9458388375
736	0.1921487224	0.9458388375
737	0.1921255348	0.9458388375
738	0.1919497314	0.9458388375
739	0.1918617143	0.9458388375
740	0.1912898064	0.9471598415
741	0.1910468751	0.9458388375
742	0.1908393636	0.9471598415
743	0.1905014697	0.9484808454
744	0.19048098	0.9484808454
745	0.1902559043	0.9471598415
746	0.1902328569	0.9471598415
747	0.1898812937	0.9484808454
748	0.1896990254	0.9471598415
749	0.1896774723	0.9471598415
750	0.1895562789	0.9471598415
751	0.1895031945	0.9471598415
752	0.189294929	0.9471598415
753	0.1892094675	0.9471598415
754	0.1891243089	0.9471598415
755	0.188816566	0.9471598415
756	0.1886436645	0.9471598415
757	0.1884186744	0.9471598415
758	0.1883413691	0.9471598415
759	0.1881295055	0.9458388375
760	0.1880229701	0.9458388375
761	0.1878854377	0.9458388375
762	0.1876358631	0.9471598415
763	0.1876127287	0.9471598415
764	0.1873440964	0.9471598415
765	0.187277025	0.9471598415
766	0.1871980744	0.9471598415
767	0.1871317684	0.9471598415
768	0.1871152077	0.9471598415
769	0.18694791	0.9471598415
770	0.1867718818	0.9471598415
771	0.1864462488	0.9484808454
772	0.1863890111	0.9484808454
773	0.1860572019	0.9484808454
774	0.1859239543	0.9484808454
775	0.1857473622	0.9484808454
776	0.1855847293	0.9471598415
777	0.1855576345	0.9471598415
778	0.1853266919	0.9484808454
779	0.1851904742	0.9484808454
780	0.1850645323	0.9484808454
781	0.184855891	0.9484808454
782	0.1847387957	0.9484808454
783	0.1844865923	0.9498018494
784	0.1844343294	0.9498018494
785	0.1844274541	0.9498018494
786	0.1843721153	0.9498018494
787	0.1843640862	0.9498018494
788	0.1843532082	0.9498018494
789	0.1842982906	0.9498018494
790	0.1840359993	0.9511228534
791	0.1839480283	0.9498018494
792	0.1838103538	0.9498018494
793	0.1837260322	0.9498018494
794	0.1836872445	0.9498018494
795	0.1836407936	0.9498018494
796	0.1835915122	0.9498018494
797	0.18356837	0.9498018494
798	0.1833897621	0.9498018494
799	0.1832445938	0.9498018494
800	0.1829523545	0.9498018494
801	0.1827622633	0.9498018494
802	0.1825729533	0.9498018494
803	0.1825469722	0.9498018494
804	0.1824926623	0.9498018494
805	0.182450757	0.9498018494
806	0.1823536414	0.9498018494
807	0.1820407607	0.9498018494
808	0.1818860762	0.9498018494
809	0.1818162043	0.9498018494
810	0.1817614657	0.9498018494
811	0.1815312163	0.9484808454
812	0.1812555379	0.9498018494
813	0.1811873429	0.9498018494
814	0.1810800508	0.9498018494
815	0.1807323799	0.9524438573
816	0.1806078157	0.9524438573
817	0.1804934845	0.9550858653
818	0.180307703	0.9564068692
819	0.1801919873	0.9564068692
820	0.1801603853	0.9564068692
821	0.179985482	0.9564068692
822	0.179829259	0.9564068692
823	0.1797948967	0.9564068692
824	0.1797165463	0.9564068692
825	0.1795314338	0.9564068692
826	0.1794448137	0.9550858653
827	0.1792381787	0.9550858653
828	0.1790312956	0.9550858653
829	0.1790029089	0.9550858653
830	0.1789621625	0.9550858653
831	0.17868392	0.9550858653
832	0.1786566933	0.9564068692
833	0.1785662585	0.9564068692
834	0.1782908027	0.9564068692
835	0.1781521144	0.9564068692
836	0.177735529	0.9564068692
837	0.1775417622	0.9577278732
838	0.1774187719	0.9564068692
839	0.17734463	0.9577278732
840	0.1771638939	0.9577278732
841	0.177070763	0.9577278732
842	0.1770047386	0.9577278732
843	0.1769846718	0.9577278732
844	0.1769446961	0.9577278732
845	0.1768400742	0.9577278732
846	0.1767712978	0.9577278732
847	0.1765112748	0.9577278732
848	0.1764009993	0.9577278732
